Venue Name	Address	Venue Event Calendar	Parking	Parking Cost	Drive Time	Drive Distance	Metal Detectors	Ticket Platform	Seating	General Notes
Capital One Arena	601 F St NW, Washington, DC 20004	https://www.capitalonearena.com/events/	999 9th St NW, Washington DC 20001 — use I Street entrance		35 min	13 mi	Yes	Ticketmaster	Reserved seating	Concerts filter available on-site but not direct-linkable
Baltimore Soundstage	124 Market Pl, Baltimore, MD 21202	https://www.baltimoresoundstage.com/events-feed/	751 E. Lombard St, Baltimore, MD 21202		55 min	40 mi	Yes	Ticketmaster	GA standing + a few reserved tables	
Baltimore Lyric Theatre	140 W Mount Royal Ave, Baltimore, MD 21201	https://www.lyricbaltimore.com/events/all	80 W Oliver St, Baltimore, MD 21201		55 min	40 mi	Yes	Etix	Reserved seating	
Pearl Street Warehouse	33 Pearl St SW, Washington, DC 20024	https://www.unionstagepresents.com/pearl-street/shows	L'Enfant Promenade or D St SW		25 min	10.3 mi		Opendate	GA standing + reserved balcony	
Jammin' Java	227 Maple Ave E, Vienna, VA 22180	https://www.unionstagepresents.com/jammin-java/shows	On site		10 min	3 mi		Opendate	GA standing + a few reserved tables	
Union Stage	740 Water St SW, Washington, DC 20024	https://www.unionstagepresents.com/union-stage/shows	L'Enfant Promenade or D St SW		25 min	10.3 mi		Opendate	GA standing + a few reserved tables	
Warner Theatre	513 13th St NW, Washington, DC 20004	https://www.warnertheatredc.com/shows	1325 G St NW, DC 20005 — 24hr lot, validate at Hamilton restaurant	$13.00	30 min	10.9 mi	Yes	Ticketmaster	Reserved seating	Same parking lot as Hamilton Live; doors typically 90 min before show
Fillmore Silver Spring	8656 Colesville Rd, Silver Spring, MD 20910	https://www.fillmoresilverspring.com/shows	Town Square Public Garage 61 — 786 Ellsworth Dr, Silver Spring, MD 20910		30 min	15 mi	Yes	Ticketmaster	Reserved balcony seating + GA standing floor	Vertigo Lounge for pre-screening & early doors
CFG Bank Arena	201 W Baltimore St, Baltimore, MD 21201	https://cfgbankarena.com/events/	On site — Howard St garage		55 min	40 mi	Yes	Ticketmaster	Reserved seating	Baltimore Light Rail stop adjacent
The State Theatre	220 N Washington St, Falls Church, VA 22046	https://www.thestatetheatre.com/events/upcoming_events.xml	Kaiser Garage across street — free evenings/weekends; enter via Park Ave		5 min	1 mi	Yes	Freshtix	Reserved balcony seating + GA standing floor	
Songbyrd Music House	540 Penn St NE, Washington, DC 20002	https://songbyrddc.com/	1309 5th St NE, Washington, DC 20002		40 min	13.5 mi	Yes	Dice.fm	GA standing	250-cap venue; bar + restaurant; formerly in Adams Morgan
The Howard Theatre	620 T St NW, Washington, DC 20001	https://www.unionstagepresents.com/the-howard/shows	Street parking		40 min	13.5 mi	Yes	Ticketmaster	GA seated first come first served	Union Stage Presents venue; balcony booths; historic Shaw neighborhood
Music Center at Strathmore	5301 Tuckerman Lane, North Bethesda, MD 20852	https://www.strathmore.org/calendar/	Free parking — Grosvenor-Strathmore Metro garage off Tuckerman Lane		25 min	15 mi	Yes	Ticketmaster / AXS	Reserved seating	1976-seat concert hall
The Theater at MGM National Harbor	101 MGM National Ave, Oxon Hill, MD 20745	https://www.mgmnationalharbor.com/en/entertainment/the-theater.html#/Entertainment%20Calendar	On site		25 min	15 mi	Yes	Ticketmaster	Reserved seating	3000-cap; casino resort venue
Bethesda Theater	7719 Wisconsin Ave, Bethesda, MD 20814	https://bethesdatheater.com/	Street parking		35 min	14 mi	Yes	Eventbrite	Reserved seating + supper club tables	Dinner/show format
Maryland Hall	801 Chase St, Annapolis, MD 21401	https://www.marylandhall.org/events/	On site		65 min	43 mi		Maryland Hall box office	Reserved seating	Arts center; same drive as Rams Head On Stage
The Clarice Smith Performing Arts Center	8270 Alumni Dr, College Park, MD 20742	https://www.claricesmithcenter.umd.edu/events	On site		35 min	20 mi	Yes	Ticketmaster	Reserved seating	University of Maryland campus; multiple performance spaces
Sixth & I Historic Synagogue	600 I St NW, Washington, DC 20001	https://www.sixthandi.org/events/category/arts-entertainment/music/list/	999 9th St NW, Washington DC 20001 — use I Street entrance		35 min	13 mi	Yes	Sixth & I	Reserved seating	Historic synagogue converted to events venue
Black Cat	1811 14th St NW, Washington, DC 20009	https://www.blackcatdc.com/schedule.html	Street parking		40 min	13.5 mi	Yes	Ticketmaster	GA standing	14th Street corridor; two stages (main + backstage)
Publick Playhouse	5445 Landover Rd, Cheverly, MD 20784	https://pgarts.org/publick-playhouse/	On site		30 min	16 mi		Ticketmaster	Reserved seating	Prince George's County arts venue
JV's Restaurant	344 W Broad St, Falls Church, VA 22046	https://www.jvsrestaurant.com/calendar	On site		5 min	1 mi		Cash cover	GA standing	Live music most nights; Falls Church institution
The Recher	512 York Rd, Towson, MD 21204	https://therechermd.com/shows/			55 min	40 mi		AXS	GA standing (occasional seated shows)	650-cap; parking garage directly behind venue under Cinemark — $2/4hrs, bring ticket in; Rec Room next door for pre/post show; all ages unless noted; reopened 2021 after renovation
Elkton Music Hall	107 North St, Elkton, MD 21921	https://www.elktonmusichall.com/events/			110 min	97 mi		Dice.fm	GA standing or seated depending on show	300-cap; 21+ only; free parking behind venue and municipal lots nearby; located in Elkton Arts & Entertainment District, 60 mi from both Baltimore and Philadelphia
Tally Ho Theatre	19 W Market St, Leesburg, VA 20176	https://tallyhotheater.com/events/			50 min	35 mi		Ticketmaster	GA standing floor + VIP reserved balcony seating	650-cap; 1932 art deco building; free parking garage next door after 7pm / weekends; VIP ticket = guaranteed seat + separate bar area upstairs; food from adjacent Tally Ho Pizza
Blues Alley	1073 Wisconsin Ave NW, Washington, DC 20007	https://www.bluesalley.com/events/			30 min	12 mi		InstantSeats (bluesalley.com)	Reserved supper-club table seating, first come first served with exceptions	125-cap; oldest jazz supper club in US (est. 1965); Georgetown carriage house; two shows most nights (8pm & 10pm); ages 10+; dinner served from 6pm; Eva Cassidy's Live at Blues Alley recorded here
DAR Constitution Hall	1776 D St NW, Washington, DC 20006	https://www.dar.org/constitution-hall/performance-events/			30 min	11 mi	Yes	Ticketmaster	Reserved seating	3702-cap; National Historic Landmark (1929); John Russell Pope neoclassical design; parking at Colonial Parking 1800 G St NW; Farragut West/North Metro nearby
The Maryland Theatre	21 S Potomac St, Hagerstown, MD 21740	https://www.mdtheatre.org/performances-events			90 min	75 mi		Ticketmaster	Reserved seating — orchestra + balcony	1279-cap; historic 1915 Thomas Lamb design; two-level auditorium; arrive 60 min early; no backpacks; VIP suite (12-person, historic projection room) available via box office; same drive as Hub City Vinyl
EagleBank Arena	4500 Patriot Cir, Fairfax, VA 22030	https://www.eaglebankarena.com/events	On site — surface lots A, C, K, L (event signage); parking included in ticket price		25 min	12 mi	Yes	Ticketmaster	Reserved seating	10,000-cap; GMU campus; all-mobile tickets via Ticketmaster app; no public transit direct to venue — Vienna Metro + CUE bus or rideshare
GMU Center for the Arts	4373 Mason Pond Dr, Fairfax, VA 22030	https://cfa.calendar.gmu.edu/series-music/	Mason Pond Parking Deck (paid, adjacent); free in Lot K for Great Performances/Family Series events		25 min	12 mi		Tickets.com / CFA box office	Reserved seating	1,935-seat Concert Hall; same GMU campus as EagleBank Arena; ticket office 703-993-2787; fees $4–6/ticket online
DC9	1940 9th St NW, Washington, DC 20001	https://www.dc9.club/events	Street parking limited; garages: Atlantic Plumbing 2130 8th St NW, Whole Foods 2210 9th St NW, 850 V St NW		40 min	13.5 mi		Dice.fm	GA standing	250-cap; U Street/Shaw; two-level — ground floor bar + jukebox, upstairs concert room; rooftop bar (seasonal); near U Street and Shaw-Howard Metro; est. 2004
Pie Shop DC	1339 H St NE, Washington, DC 20002	https://www.pieshopdc.com/	Street parking on H St NE corridor		40 min	14 mi		Dice.fm	GA standing	~150-cap upstairs music room above pie shop; H Street NE corridor; woman-owned; Wammie Award Best Music Venue; indie/punk/metal focus; get a slice downstairs
Ottobar	2549 N Howard St, Baltimore, MD 21218	https://www.theottobar.com/calendar	Street parking in neighborhood; metered lot on 26th St between Maryland Ave & Charles St; do NOT park in gated lot behind venue		55 min	40 mi		Etix	GA standing	~400-cap; Remington neighborhood Baltimore; two-level with balcony; 18+ unless noted; est. 1997; Beach House, Future Islands, Wye Oak alumni
The Mansion at Strathmore	10701 Rockville Pike, North Bethesda, MD 20852	https://www.strathmore.org/calendar	Mansion lot off Rockville Pike (evening events); Metro garage on Tuckerman Lane (paid)		25 min	15 mi		Ticketmaster / Strathmore box office	GA rows — general admission	Intimate Music Room on same campus as Music Center; ~150-cap; historic 1899 estate; same parking/Metro as Music Center
Pier Six Pavilion	731 Eastern Ave, Baltimore, MD 21202	https://www.livenation.com/venue/KovZpZAa1enA/pier-six-pavilion-events	Harbor Park Garage — 55 Market Pl, Baltimore, MD 21202		55 min	40 mi	Yes	Ticketmaster	GA pit + three tiers reserved covered seating + GA lawn	4,600-cap; Baltimore Inner Harbor; outdoor amphitheater with iconic white big-top tent (est. 1981, renovated 2018); rain or shine; clear bag policy (12"x6"x12" max); lawn chairs and blankets permitted; no outside food/drink; box office opens 1hr before gates on show days; formerly MECU Pavilion
Joseph Meyerhoff Symphony Hall	1212 Cathedral St, Baltimore, MD 21201	https://www.bsomusic.org/calendar/	On site — main parking lot, 1030 Park Ave (rideshare pickup point)	$12.00	55 min	40 mi		Ticketmaster	Reserved seating — orchestra, terrace, grand tier	2,443-cap; home of the Baltimore Symphony Orchestra; opened 1982; oval design by Pietro Belluschi; Light Rail: Cultural Center stop (across Park Ave); Metro: State Center Station (1 block walk); box office Tue–Fri 10am–5pm, Sat 12–5pm; children under 6 not admitted
