Action	Artist	Tier	Notes
ADD	Tab Benoit	Strong	
ADD	Taj Farrant	Strong	
ADD	Taj Mahal	Strong	
ADD	Tal Wilkenfeld	Lower	
ADD	Tedeschi Trucks Band	Strong	
ADD	The Teskey Brothers	Medium	
ADD	Tommy Emmanuel	Strong	
ADD	Tracy Chapman	Medium	override medium
ADD	Trombone Shorty & Orleans Avenue	Strong	
ADD	Valerie June	Strong	
ADD	Vanessa Collier	Strong	
ADD	Walter Trout	Strong	
ADD	The War and Treaty	Strong	
ADD	Warren Haynes	Medium	
ADD	Waxahatchee	Medium	override medium
ADD	Whitney Mongé	Medium	
ADD	The Wood Brothers	Strong	
ADD	Yasmin Williams	Strong	
ADD	Young Dubliners	Strong	
ADD	ZZ Ward	Strong	
REMOVE	10000 Maniacs	Nostalgia	
REMOVE	Alanis Morissette	Nostalgia	
REMOVE	Albert Castiglia Band	Duplicate	keep Albert Castiglia
REMOVE	Ally Venable Band	Duplicate	keep Ally Venable
REMOVE	Arctic Monkeys	Nostalgia	
REMOVE	Beck	Nostalgia	
REMOVE	Big Boi	Nostalgia	
REMOVE	Blues Traveler	Nostalgia	
REMOVE	Barenaked Ladies	Seen-once-done	
REMOVE	Cage the Elephant	Nostalgia	apply override medium entry separately
REMOVE	Cat Power	Nostalgia	
REMOVE	Cavetown	Nostalgia	
REMOVE	Cowboy Junkies	Seen-once-done	
REMOVE	Cyndi Lauper	Nostalgia	
REMOVE	Elvis Costello	Seen-once-done	
REMOVE	Enter The Haggis	Defunct	replace with Haggis X-1
REMOVE	Everything but the Girl	Nostalgia	
REMOVE	Fiona Apple	Nostalgia	
REMOVE	Greta Van Fleet	Nostalgia	
REMOVE	H.E.R.	Nostalgia	
REMOVE	Indigo Girls	Seen-once-done	
REMOVE	Jane's Addiction	Nostalgia	
REMOVE	KALEO	Nostalgia	
REMOVE	Kim Carnes	Nostalgia	
REMOVE	Lovejoy	Nostalgia	
REMOVE	Modest Mouse	Nostalgia	
REMOVE	Muse	Nostalgia	
REMOVE	Nick Cave & The Bad Seeds	Nostalgia	
REMOVE	P!nk	Nostalgia	apply override medium entry separately
REMOVE	Pearl Jam	Nostalgia	
REMOVE	Peter Gabriel	Nostalgia	apply override strong entry separately
REMOVE	SHAED	Nostalgia	
REMOVE	Sarah McLachlan	Seen-once-done	
REMOVE	Sheila E.	Nostalgia	
REMOVE	Steve Earle	Seen-once-done	
REMOVE	Tori Amos	Nostalgia	
REMOVE	Tracy Chapman	Nostalgia	apply override medium entry separately
REMOVE	Violent Femmes	Nostalgia	
REMOVE	Waxahatchee	Nostalgia	apply override medium entry separately
REMOVE	Wu-Tang Clan	Seen-once-done	
boygenius	Nostalgia	apply override strong entry separately
REMOVE	Carl Perkins	Deceased	
REMOVE	Justin Townes Earle	Deceased	
REMOVE	Sam Cooke	Deceased	
REMOVE	ZZ Top	Deceased/Defunct	Billy Hill died 2021; follow Billy Gibbons instead
