Show Date	Artist	Supporting Acts	Venue	Setlist.fm URL	Playlist URL	Match Type	YT Title	Notes / Memories
2023-04-26	Suzanne Vega		The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/suzanne-vega/2023/the-birchmere-alexandria-va-73b80a69.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKC_yYTLFmdV6_b-ZNETIX2	Playlist (20 videos)	Suzanne Vega - Live @ Birchmere 4/26/23	VIP sound check included Calypso, Caramel, and Marlene on the Wall before the main set.
2023-05-17	Eric Gales		The Hamilton Live, Washington, DC, USA	https://www.setlist.fm/setlist/eric-gales/2023/the-hamilton-live-washington-dc-1bb9d91c.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKu68uJScwygQWtPf6vHJ7M	Playlist (14 videos)	Eric Gales LIVE - Hamilton Live (DC) 5/17/23	Set my phone down on the table — Eric and band had the floor thumping all night. Auto-focus was fairly terrible on a couple of clips.
2023-05-20	The Wood Brothers	Shovels & Rope	The Anthem, Washington, DC, USA	https://www.setlist.fm/setlist/shovels-and-rope/2023/the-anthem-washington-dc-1bb9151c.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJKzAKwX_GB_WWKCWWCJ6hZ	17 video(s) found	Wood Brothers LIVE - Sing About it part 2 (bootleg) | Wood Brothers LIVE - Little Bit Sweet (bootleg) | Wood Brothers LIVE - Pilgrim (bootleg) | Wood Brothers LIVE - Luckiest Man (bootleg) | Wood Brothers LIVE - Pray for Rain (bootleg) | Wood Brothers LIVE - Atlas (bootleg) | Wood Brothers LIVE - Happiness Jones (bootleg) | Wood Brothers LIVE - Things I Leave Behind (bootleg) | Wood Brothers LIVE - Sky High (bootleg) | Wood Brothers LIVE - Chocolate on My Tongue (bootleg) | Wood Brothers LIVE - Fallen (bootleg) | Wood Brothers LIVE - Postcards from Hell (Oliver Wood solo, bootleg) | Wood Brothers LIVE - Blood I Bleed (bootleg) | Wood Brothers LIVE - One Drop (bootleg) | Wood Brothers and Shovels & Rope LIVE -  Down on the Corner (CCR cover - bootleg) | Wood Brothers LIVE - Brother (bootleg) | Shovels & Rope LIVE - Four Winds (bootleg)	Shot primarily Wood Brothers' full opening set from the 2nd level balcony. Wood Brothers brought Shovels & Rope back out for an encore CCR cover (Down on the Corner).
2023-05-23	The Lone Bellow	Lindsay Lou	The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/the-lone-bellow/2023/the-birchmere-alexandria-va-6ba736fa.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLiOWNveOqzB8vPJIDxYZE0	Playlist (13 videos)	The Lone Bellow Trio with Lindsay Lou - LIVE Birchmere (VA) 5/23/23	Front row at the Birchmere. Lindsay Lou covered Angel of Montgomery and Amazing Grace with the trio. Also caught her solo opening set.
2023-05-25	The Avett Brothers	Bill Frisell	Wolf Trap Farm Park (Filene Center), Vienna, VA, USA	https://www.setlist.fm/setlist/the-avett-brothers/2023/wolf-trap-farm-park-filene-center-vienna-va-33b900f9.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLCiZa4_HtXyrfpcOoPxV4k	Playlist (6 videos)	Avett Brothers LIVE - Wolf Trap 05/25/23	
2023-06-07	Indigo Girls	Larkin Poe	Wolf Trap Farm Park (Filene Center), Vienna, VA, USA	https://www.setlist.fm/setlist/indigo-girls/2023/wolf-trap-farm-park-filene-center-vienna-va-63a692c3.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL5rDxxJhkLBDlMLuj3A7ev	Playlist (7 videos)	Indigo Girls with Larkin Poe LIVE - Wolf Trap 06/07/23	Larkin Poe opened and joined Indigo Girls for Shame on Me during the set and Closer to Fine during the encore. Pavilion stage left row G.
2023-06-11	Buddy Guy	Samantha Fish & Jesse Dayton / Robert Randolph & The Family Band	Wolf Trap Farm Park (Filene Center), Vienna, VA, USA	https://www.setlist.fm/setlist/buddy-guy/2023/wolf-trap-farm-park-filene-center-vienna-va-13a6e579.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK2nqH-cfbvIX2DiwZIHbPi	Playlist (9 videos)	Buddy Guy LIVE - Damn Right Farewell Tour @ Wolf Trap 6/11/23	Shot primarily Samantha Fish & Jesse Dayton and Robert Randolph sets supporting Buddy Guy. The two acts joined together for a Going Down curtain call.
2023-06-15	Kate Davis	Mystery Friends / The House You Grew Up In (THYGUI)	Songbyrd Music House, Washington, DC, USA	https://www.setlist.fm/setlist/kate-davis/2023/songbyrd-music-house-washington-dc-6ba73af6.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLY-DcEWxAOKJUfpnxH0OjA	Playlist (31 videos, combined 3-show playlist)	Kate Davis LIVE with band -  Saw You Staring (bootleg) | Kate Davis LIVE with band - Yoyo (bootleg) | Kate Davis LIVE with band - Fructify (bootleg) | Kate Davis LIVE with band - For You and I (bootleg) | Kate Davis LIVE with band - In My Dreams (bootleg) | Kate Davis LIVE with band - Lonely Ghosts (bootleg) | Kate Davis LIVE with band - Consequences (bootleg) | Kate Davis LIVE with band - Cry (bootleg) | Kate Davis LIVE with band - Why Do You Lie (bootleg) | Kate Davis LIVE with band - Over You (bootleg) | Kate Davis LIVE with band - Just Like Heaven (bootleg) | Kate Davis LIVE with band - We Got it Good (bootleg)	Stood next to the photographer — that had its drawbacks. Shot almost the full Kate Davis set with band, plus Mystery Friends and THYGUI. Senator Schumer was in the audience, he had a staffer who played in one of the other two bands
2023-06-18	Trombone Shorty & Orleans Avenue	Mavis Staples / Ziggy Marley	Wolf Trap Farm Park (Filene Center), Vienna, VA, USA	https://www.setlist.fm/setlist/trombone-shorty-and-orleans-avenue/2023/wolf-trap-farm-park-filene-center-vienna-va-5ba623cc.html		No match		Technical difficulties — only slow-motion videos; no usable footage.
2023-06-20	Christone 'Kingfish' Ingram	Yutzi	The 8x10, Baltimore, MD, USA	https://www.setlist.fm/setlist/christone-kingfish-ingram/2023/the-8x10-baltimore-md-6ba606c2.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLFTXtHeMY5QzPncF8xiZP_	Playlist (shared 2-show playlist w/ 6/22)	Kingfish Ingram LIVE - band introductions (fragment - bootleg) | Kingfish Ingram LIVE - entrance clip (bootleg) | Kingfish Ingram LIVE - Hey Joe (fragment 1 - bootleg) | Kingfish Ingram LIVE - Hey Joe (fragment 2 - bootleg) | Kingfish Ingram LIVE - 662 (bootleg) | Kingfish Ingram LIVE - Fresh Out (bootleg)	"From the rail at The 8x10 Baltimore. Got to fix Kingfish's cord chaos on his pedalboard while he was playing — a proud moment for this former ""black shirt."" A kid in the crowd came out behind me to take a shot at part of a solo — pretty sure it was his nephew (brother who ""moved off to Baltimore"" definitely confirmed)."
2023-06-22	Steve Miller Band	Christone 'Kingfish' Ingram	Wolf Trap Farm Park (Filene Center), Vienna, VA, USA	https://www.setlist.fm/setlist/steve-miller-band/2023/wolf-trap-farm-park-filene-center-vienna-va-4ba673e2.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLFTXtHeMY5QzPncF8xiZP_	Playlist (Kingfish support set only, shared 2-show playlist)	Kingfish Ingram LIVE - walkout and band selfies (bootleg) | Kingfish Ingram LIVE - 662 (bootleg) | Kingfish Ingram LIVE - Midnight Heat (bootleg) | Kingfish Ingram LIVE - Fresh Out (bootleg) | Kingfish Ingram LIVE - Too Close to the Fire (bootleg) | Kingfish Ingram LIVE - Love Language (bootleg) | Steve Miller LIVE - Wild Mountain Honey (bootleg) | Steve Miller LIVE - Jungle Love (bootleg)	Shot Kingfish Ingram's full support set from the pavilion balcony. Shot Steve Miller walkout and a couple of songs.
2023-06-28	Ally Venable Band		Rams Head On Stage, Annapolis, MD, USA	https://www.setlist.fm/setlist/ally-venable-band/2023/rams-head-on-stage-annapolis-md-2ba7ac96.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI3fSqrqTVvnGB99cRMaw9g	Playlist (assembled)	Ally Venable LIVE - Going  Down (bootleg) | Ally Venable LIVE - Broken & Blue (bootleg)	Shot from the side of stage — big head dude between me and the front on multiple clips.
2023-07-05	Tori Amos		Wolf Trap Farm Park (Filene Center), Vienna, VA, USA	https://www.setlist.fm/setlist/tori-amos/2023/wolf-trap-farm-park-filene-center-vienna-va-63a7ea9f.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKrWHIIZRhg4a8Md0OJAz0j	Playlist (6 videos)	Tori Amos LIVE at Wolf Trap 7/5/23	Tori told a story about being abruptly fired from a piano bar job in DC on July 4th, 1983 — she showed up in costume and someone else was already playing. Pavilion center-left aisle, row U.
2023-07-09	Elvis Costello & The Imposters	Nick Lowe & Los Straitjackets	Lyric Performing Arts Center, Baltimore, MD, USA	https://www.setlist.fm/setlist/elvis-costello-and-the-imposters/2023/lyric-performing-arts-center-baltimore-md-3ba73c34.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJQlnfR1H4RhpH96g0pDezr	Playlist (7 videos)	Elvis Costello & The Imposters LIVE - Baltimore 7/9/23	Penultimate row of the upper balcony at Baltimore Lyric. Deep cuts from the early set. Also caught one Nick Lowe & Los Straitjackets track.
2023-07-16	Daniel Donato		The 8x10, Baltimore, MD, USA	https://www.setlist.fm/setlist/daniel-donato/2023/the-8x10-baltimore-md-23a75897.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK9qsZBf69EBAjEof98__oM	Playlist (7 videos)	Daniel Donato's Cosmic Country LIVE @ 8x10 (Baltimore) 7/16/2023	From the rail in front of Mustang 🤘 Two-set show at The 8x10.
2023-07-20	Tab Benoit	Anthony Rosano and The Conqueroos	The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/tab-benoit/2023/the-birchmere-alexandria-va-73a74295.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLa9pSu_ArIRgHqdABZCY3Y	Playlist (7 videos)	Tab Benoit LIVE @ Birchmere 07/20/2023	"Front row corner at the Birchmere. Tab opened with a little ""bonus"" lagniappe improv while the gumbo was cooking. Medicine turned into an epic jam. He riffed extensively making fun of Ben Franklin."
2023-07-27	Ana Popović	Skribe	The Hamilton Live, Washington, DC, USA	https://www.setlist.fm/setlist/ana-popovi/2023/the-hamilton-live-washington-dc-1ba4ed10.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJaKg_AUWCQQrqE0r3miNeX	Playlist (6 videos)	Ana Popović LIVE @ Hamilton Live (DC) 07/27/23	
2023-08-12	Honeyfunk	Zedicus & Abyssinia Roots	Pearl Street Warehouse, Washington, DC, USA	https://www.setlist.fm/setlist/honeyfunk/2023/pearl-street-warehouse-washington-dc-3a59933.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKYpFBl7PH6LCxXKxR218P6	8 video(s) found	Honeyfunk LIVE - Thrill Is Gone (bootleg) | Honeyfunk LIVE - Son of a Preacher Man (bootleg) | Honeyfunk LIVE - Yellow Moon (bootleg) | Honeyfunk LIVE - Sexual Healing (bootleg) | Honeyfunk LIVE - Purple Rain (bootleg) | Honeyfunk LIVE - The Roof is on Fire (bootleg) | Zedicus LIVE (bootleg) | Zedicus LIVE (bootleg)	
2023-08-18	Jimmie Vaughan	King Solomon Hicks	The State Theatre, Falls Church, VA, USA	https://www.setlist.fm/setlist/jimmie-vaughan/2023/the-state-theatre-falls-church-va-1ba5d150.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIWqX-7z-6qKXi1trysBQqV	Playlist (3 videos)	Jimmie Vaughan LIVE @ State Theatre Falls Church (VA) 08/18/23	Shot primarily King Solomon Hicks' opening set — a full 7-track playlist. Jimmie Vaughan: dude is 72 and still doing a helluva show.
2023-08-23	Steve Earle	Danny Burns	The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/steve-earle/2023/the-birchmere-alexandria-va-ba52966.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK5WAFCHnB0Ol69_eU0RRWh	Playlist (9 videos)	Steve Earle Alone & Acoustic LIVE @ Birchmere (VA) 8/23/23	"Steve introduced My Old Friend the Blues as ""Gary (Oelze, founder of the Birchmere)'s favorite song of mine"" — Gary had passed away in January. David Simon (The Wire, Tremé) was at the table to my right."
2023-08-27	The Robert Cray Band		The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/the-robert-cray-band/2023/the-birchmere-alexandria-va-73a55289.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJC-bn8qCCnvVx6Zots9-Z3	Playlist (9 videos)	Robert Cray Band LIVE @ Birchmere 8/27/23	2nd row, shooting low. Band: Richard Cousins (bass), Dover Weinberg (keyboards), Les Falconer (drums).
2023-09-02	Oh He Dead	AZTEC SUN / Dior Ashley Brown and the Filthy Animals	9:30 Club, Washington, DC, USA	https://www.setlist.fm/setlist/oh-he-dead/2023/930-club-washington-dc-33a21cbd.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGINzsNdq52NtGkKkLliLdLS	Playlist (assembled)	Oh He Dead LIVE - Lightning Drunk (bootleg) | Oh He Dead LIVE - #song-title (bootleg) | Oh He Dead LIVE - Show Me Love (bootleg) | Oh He Dead LIVE - Neon Lights (bootleg) | Oh He Dead LIVE - All Eyes onMe (bootleg) | Oh He Dead LIVE - Wild Night (bootleg) | Oh He Dead LIVE - 3AM (bootleg)	
2023-09-08	ZZ Ward	Jaime Wyatt	9:30 Club, Washington, DC, USA	https://www.setlist.fm/setlist/zz-ward/2023/930-club-washington-dc-ba2ddd2.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK5fEehbuiAlkjhxw6nuO_A	Playlist (13 videos)	ZZ Ward LIVE @ 9:30 Club 9/8/23	Album drop day for Dirty Shine — shot from the rail. Jaime Wyatt opened with a Led Zeppelin cover (Ramble On). Hat autograph: ZZ Ward.(first to sign)
2023-09-09	DuPont Brass		Rosslyn Jazz Fest 2023	https://www.setlist.fm/setlist/dupont-brass/2023/gateway-park-arlington-va-23a2343b.html	https://youtu.be/kcFMZUxvoJ0	1 video(s) found	Dupont Brass LIVE - Joy (bootleg)	Set opener at Rosslyn Jazz Fest before thunderstorms washed out the rest of the bands. Also attended Kingsley Flood at Pearl Street Warehouse the same night.
2023-09-09	Kingsley Flood	Glenn Yoder	Pearl Street Warehouse, Washington, DC, USA	https://www.setlist.fm/setlist/kingsley-flood/2023/pearl-street-warehouse-washington-dc-23a2345b.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJMcYYmWW2UerHUKh5Ae3zC	Playlist (assembled)	Kingsley Flood LIVE -  Try (bootleg) | Kingsley Flood LIVE - Cavalry (bootleg) | Kingsley Flood LIVE - Bottom of the Barrel (bootleg) | Kingsley Flood LIVE - Shivering World (bootleg) | Glenn Yoder and the Western States LIVE - Joy (bootleg) | Glenn Yoder and the Western States LIVE - Goddamn Shame (bootleg)	Two shows same day: Kingsley Flood at Pearl Street Warehouse (Glenn Yoder supporting, Lucinda Williams cover in the set), then DuPont Brass at Rosslyn Jazz Fest — only one song before thunderstorms washed out the rest of the lineup.
2023-09-10	Beck	Phoenix / Weyes Blood / Sir Chloe	Merriweather Post Pavilion, Columbia, MD, USA	https://www.setlist.fm/setlist/beck/2023/merriweather-post-pavilion-columbia-md-6ba2d22a.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJLJigRBb2WtkHemF8jq3Ji	Playlist (10 videos)	Beck LIVE Summer Odyssey Tour closing performance 9/10/23	"Final show of the Summer Odyssey tour. ""They let it all hang out."" Also caught Sir Chloe and Phoenix. Shot from Row B, stage left, behind the pit."
2023-09-13	Sonny Landreth	Peter Case	The Hamilton Live, Washington, DC, USA	https://www.setlist.fm/setlist/sonny-landreth/2023/the-hamilton-live-washington-dc-73a20ac5.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJhkjsjcbfiUv4e8_hLVhft	Playlist (assembled)	Sonny Landreth LIVE - Blues Attack (bootleg) | Sonny Landreth LIVE - Don't Ask Me (bootleg) | Sonny Landreth LIVE - Creole Angel (bootleg) | Sonny Landreth LIVE - Bound by the Blues (bootleg) | Sonny Landreth LIVE - Next Train Home (bootleg) | Sonny Landreth LIVE - Congo Square (bootleg) | Sonny Landreth LIVE - Uberesso (bootleg) | Sonny Landreth LIVE - From Now On (bootleg) | Sonny Landreth LIVE - 1 For the Road (bootleg)	Back porch style — opened with Blues Attack. Peter Case supporting. Shot from the front row at Hamilton Live.
2023-09-26	Wu-Tang Clan	Wu-Tang Clan / De La Soul	Capital One Arena, Washington, DC, USA	https://www.setlist.fm/setlist/nas/2023/capital-one-arena-washington-dc-ba3911a.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK4_7RjVC1MRnJTCwfHGCEK	Playlist (assembled)	Wu-Tang Clan LIVE - Shimmy Shimmy Ya (EXPLICIT bootleg) | Nas LIVE - It Ain't Hard to Tell (bootleg) | Wu-Tang Clan LIVE - Shame (EXPLICIT bootleg)	Upper deck at Capital One Arena. RZA told the white folks in the audience what to say in place of a particular word in the lyrics during the Wu-Tang set.
2023-09-27	Rhiannon Giddens	Adia Victoria	The Clarice Smith Performing Arts Center, College Park, MD, USA	https://www.setlist.fm/setlist/rhiannon-giddens/2023/the-clarice-smith-performing-arts-center-college-park-md-4ba3e73e.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIc1ntqg0LoA3Nwitvt7bXA	Playlist (13 videos)	Rhiannon Giddens + Adia Victoria LIVE @ Clarice Smith 9/27/23	Side box, trying to be subtle — lots of shiftiness in the footage. Band: Jason Sypher (bass), Francesco Turrisi, Dirk Powell, Niwel Tsumbu (guitar). Adia Victoria also on the bill.
2023-10-05	Victor Wooten	Rebirth Brass Band	The Fillmore Silver Spring, Silver Spring, MD, USA	https://www.setlist.fm/setlist/victor-wooten/2023/the-fillmore-silver-spring-silver-spring-md-ba30dba.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJ1OZ7VePb6uyiVxN_qHmL3	5 video(s) found	Rebirth Brass Band  LIVE - Deyo (bootleg) | Rebirth Brass Band  LIVE - It's All Over Now  (bootleg) | The Wooten Brothers with Rebirth Brass Band LIVE - final jam (bootleg) | Victor Wooten LIVE - Me and My Bass Guitar (bootleg) | Victor Wooten LIVE - A Show of Hands (bootleg)	Shot from stage left balcony above the band. Rebirth Brass Band opened, then joined the Wooten Brothers for the final jam.
2023-10-06	Kenny Wayne Shepherd		Capital One Hall, Tysons Corner, VA, USA	https://www.setlist.fm/setlist/kenny-wayne-shepherd/2023/capital-one-hall-tysons-corner-va-7ba326e8.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKxppGZyUZqpFzipYNLus9t	Playlist (7 videos)	Kenny Wayne Shepherd LIVE @ Capital One Hall 10/06/23	
2023-10-08	Vanessa Collier		AMP by Strathmore, North Bethesda, MD, USA	https://www.setlist.fm/setlist/vanessa-collier/2023/amp-by-strathmore-north-bethesda-md-ba36132.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKQlkdygFKav6V1ZV8eBJtG	Playlist (8 videos)	Vanessa Collier LIVE @ Strathmore AMP 10/8/23	"Front table at Strathmore AMP. ""Next time I think I need to sit in front of Laura Chavez!!!"""
2023-10-13	Daniel Donato		Pearl Street Warehouse, Washington, DC, USA	https://www.setlist.fm/setlist/daniel-donato/2023/pearl-street-warehouse-washington-dc-3a09d63.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGILAv53HPzLkFWGn2I7eKIN	Playlist (6 videos)	Daniel Donato's Cosmic Country LIVE @ Pearl Street Warehouse (DC) 10/13/23	
2023-10-15	LL Cool J	The Roots / DJ Jazzy Jeff / Queen Latifah / Bone Thugs-n-Harmony / Z-Trip	Capital One Arena, Washington, DC, USA	https://www.setlist.fm/setlist/ll-cool-j/2023/capital-one-arena-washington-dc-63a0a2c3.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLBwSoqOc_FFDfCSQYpKfUq	7 video(s) found	Clip The Roots & DJ Jazzy Jeff LIVE - Shimmy Shimmy Ya etc (bootleg) | Queen Latifah and Monie Love LIVE - Living Single & Ladies First (bootleg) | LL Cool J LIVE - Rock the Bells (bootleg) | LL Cool J LIVE - Around the Way Girl (bootleg) | LL Cool J LIVE - Going Back to Cali (bootleg) | LL Cool J LIVE - Mama Said Knock You Out (bootleg) | LL Cool J LIVE - I Need Love (bootleg)	The F.O.R.C.E. Live Tour. LL Cool J gave a nice shout out to Chuck Brown and DC go-go. Caught Queen Latifah with Monie Love, The Roots + DJ Jazzy Jeff, and Wu-Tang.
2023-10-18	Live		Lincoln Theatre, Washington, DC, USA	https://www.setlist.fm/setlist/live/2023/lincoln-theatre-washington-dc-7ba0fe80.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIsX-lL-_Rf_C5goarTdqM5	Playlist (8 videos)	Līve LIVE @ Lincoln Theater (DC) 10/18/23	Balcony at Lincoln Theater. They covered Seal's Crazy.
2023-10-22	The Secret Sisters	Amy Stroup	The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/the-secret-sisters/2023/the-birchmere-alexandria-va-5ba0c360.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIK1oDr0TNnX6SP7p7uw01q	Playlist (7 videos)	Secret Sisters LIVE @ The Birchmere(VA) 10/22/23	Front table at the Birchmere. They played I've Got Your Back, an unreleased track from their forthcoming album.
2023-10-27	Albert Cummings		Jammin Java, Vienna, VA, USA	https://www.setlist.fm/setlist/albert-cummings/2023/jammin-java-vienna-va-63a002db.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIzU19hwvIT5Q2mCuVHurP_	Playlist (4 videos)	Albert Cummings LIVE @ Jammin' Java 10/26/23	
2023-11-13	Shakey Graves	Sadurn	9:30 Club, Washington, DC, USA	https://www.setlist.fm/setlist/shakey-graves/2023/930-club-washington-dc-23a1300b.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKQbCrQ9b6_bJryFlPAAeKC	Playlist (9 videos)	Shakey Graves + Sadurn LIVE @ 9:30 Club (DC) 11/13/23	Stage right balcony at 9:30 Club. Opened Hard Wired with a Beatles cover (Blue Jay Way).
